Campaign_ID,Marketing_Channel,Marketing_Spend,Sales_Revenue,Customer_Acquisitions,Target_Audience,Region,Campaign_Duration,Campaign_Season,Customer_Satisfaction
a7354157-2c1c-4a95-91f2-d7681781e192,TV,54062.0,129524.0,1464.0,Young,East,30,Spring,4.674208977610737
cfad360a-6d7e-4a21-a3b5-f74c7afde2b6,Print,,194239.0,472.0,Senior,West,60,Winter,2.301184883348878
98973f53-7cbd-4c6a-a0d5-a0530fadf8cd,TV,4553.0,54499.0,1713.0,Middle_Aged,North,60,Summer,4.855324408058459
fd9c7bc3-43b9-475a-abbe-bc45fe942f04,TV,31745.0,111206.0,766.0,Senior,North,90,Winter,3.564445736341989
de4b023a-7a24-49ec-a2b0-128fb66c7cff,Radio,65829.0,17024.0,1849.0,Young,South,90,Summer,2.784021600504691
4b8d1c22-1fe4-4699-b1c4-141d36125273,Online,95500.0,78390.0,465.0,Middle_Aged,North,60,Spring,1.8074334520979414
63c3a578-1b71-4bb8-a7b9-4e62b5b5b533,Online,84304.0,179333.0,956.0,Young,North,30,Summer,1.7458267982196536
a1ae0f2c-0de9-415d-bff9-f9e2851b5874,TV,96409.0,172407.0,1851.0,Young,North,90,Spring,1.4593315347899853
e3a66a47-b566-4046-abff-7be19111711d,Radio,25767.0,88162.0,433.0,Young,North,30,Winter,3.3213301937385307
76cd6f83-36f1-4965-b87c-6f27ca1eeb18,Print,48250.0,193325.0,1752.0,Young,West,60,Winter,4.244552784232336
22cf63d0-d77e-4e45-8b5a-79859d8df620,Radio,7661.0,136761.0,1192.0,Senior,South,90,Summer,2.613598476157275
698b9247-3dc1-4a8d-a5b2-40fdbc21971b,TV,57164.0,158362.0,1315.0,Senior,East,30,Fall,4.1530933132584416
db7faa2f-af55-41a1-98a7-87a2fc8d2961,Print,38681.0,123140.0,256.0,Senior,North,60,Winter,4.884467525806633
f225abc9-a786-42b3-8cab-052a86d7adba,TV,59420.0,163364.0,1836.0,Middle_Aged,East,30,Spring,1.400621782867113
de95a7ac-8abb-40c4-a4ff-45a0814a896a,Print,96249.0,28116.0,1801.0,Middle_Aged,South,30,Winter,2.6199013529062696
3610a41d-1866-439d-91a7-1f02557e94e2,Print,28447.0,192719.0,418.0,Senior,West,90,Summer,4.16902037083578
74480268-90a8-424b-a365-233b2d647ad6,Print,72974.0,166934.0,402.0,Young,East,60,Summer,2.38748754136601
8a48f6d4-4762-4c87-8aa4-5fdd534f8a9c,Print,54432.0,5720.0,775.0,Middle_Aged,South,60,Winter,3.174066515684256
bcad3724-620a-4ed1-b093-6e19df4baf48,Radio,53703.0,24353.0,1611.0,Young,North,30,Winter,4.680175141687519
f1116c2d-e470-4fba-8b0c-8ceafe7499c7,Online,89760.0,113284.0,340.0,Middle_Aged,East,60,Spring,3.144015956522072
ea12837d-2cdb-4ac1-9608-014dbe6f8f8e,Online,93592.0,118212.0,1990.0,Young,East,60,Fall,1.8730659116288613
02fff6ed-ca3e-43b1-9206-43d2c796f64f,Online,25497.0,169584.0,1040.0,Middle_Aged,East,90,Winter,2.3072009770864903
ee276337-113c-44f9-9928-c86d360f2124,TV,49497.0,193862.0,143.0,Senior,East,60,Summer,4.4715298427590815
b345875f-a8c7-48c1-acf2-f7bfc4c49126,TV,84337.0,74971.0,529.0,Young,South,30,Winter,4.952584705435598
4264cbaf-0d13-4e6d-a9ec-e81d51623e61,Print,25330.0,109329.0,,Middle_Aged,South,90,Winter,2.901149275596186
ebffe51f-1230-44a7-a197-f62d896c80f0,TV,27614.0,75206.0,1552.0,Young,South,60,Fall,1.6427587617635462
321a41c4-3a7b-445b-8ce5-f846c0eecc74,Online,52386.0,,1900.0,Middle_Aged,West,60,Fall,1.8920624920286286
27342be8-8a0f-47ba-965b-b8aa2f488878,Online,46854.0,93796.0,1962.0,Senior,West,90,Winter,4.5217777085598065
85df5bab-4437-4bf6-9875-cf9355c14f31,Print,5417.0,99001.0,1126.0,Middle_Aged,North,30,Fall,4.374415159735994
cb2a7e0a-b4ef-4c83-bd7f-ed55f28b840e,Online,1930.0,29125.0,1502.0,Middle_Aged,South,30,Summer,4.708078158002003
e3cc676a-b48c-42b8-baff-2740bacc1c35,Online,26587.0,107147.0,949.0,Middle_Aged,West,90,Winter,4.1772254348487845
63751679-0e1c-4e36-9a44-bfb624f1d563,Print,59114.0,118873.0,344.0,Young,East,30,Summer,1.6428221503090472
8730ce32-bf50-477e-9c2e-0565fdae4fa0,Radio,6197.0,179047.0,217.0,Middle_Aged,North,90,Summer,2.0905323583364637
6cddd1c1-d732-4423-b6c8-329458bd8d42,Radio,10503.0,58116.0,1194.0,Middle_Aged,North,30,Spring,1.9884826885519593
063ef46e-ffe1-4206-a236-7e841f106c50,Online,44623.0,48914.0,1618.0,Middle_Aged,South,60,Winter,4.236944570896048
d322bc76-eb76-4170-b0eb-6809ac35e592,Print,41341.0,101538.0,1462.0,Middle_Aged,West,60,Summer,4.6557599958902305
fe551a09-cf02-435c-a012-7865e78dab77,Radio,39898.0,12530.0,1779.0,Middle_Aged,South,90,Fall,2.093372547997585
924eecd6-55c6-44b5-8e04-8f998cae18fb,Print,77713.0,29802.0,1583.0,Senior,West,90,Winter,2.2432145828117975
18f42199-f2f5-4d05-8092-5a6a06f612c0,Print,50720.0,191978.0,989.0,Young,North,30,Summer,2.1086186952381296
0ca80941-14ac-4837-ab7c-9f7a13717389,TV,83452.0,135936.0,1084.0,Senior,East,60,Winter,4.5062448162148385
f6a6f6bd-b283-48e0-9d6c-363d3c389f91,Online,71543.0,110937.0,1839.0,Middle_Aged,South,30,Summer,4.935652941911626
38704fde-7003-4b9e-8d4f-78de773cdf8b,TV,23445.0,63090.0,1160.0,Middle_Aged,South,60,Fall,3.2580468697348364
3fe9a1d9-fa6d-41d9-8f61-49a771f33e17,Print,68952.0,6128.0,1565.0,Middle_Aged,South,30,Fall,1.1837624751787073
02e56701-f151-4078-8fc6-d16b6cd4295e,Online,94344.0,198688.0,1729.0,Middle_Aged,West,60,Fall,1.1898432617137744
5d87931e-10cd-42d0-ad84-4aaaeb306549,Online,95035.0,174475.0,1371.0,Senior,East,30,Summer,3.9627628623280557
cf4f03d8-89cf-4cbf-9e93-8d4c3b77ef02,Radio,77254.0,125266.0,1436.0,Young,West,90,Spring,4.107916950086441
7bf56849-55b4-4beb-b4f4-e7572b6628b0,Online,12047.0,124098.0,1358.0,Young,West,60,Spring,1.5926803737524695
d2250300-cc06-4450-8269-7ad4a2c7cd7a,Radio,39815.0,161939.0,1751.0,Middle_Aged,West,60,Fall,1.7613203048704098
adc73bd3-5f11-4f89-b9e2-9a6c98543695,Online,31446.0,7368.0,843.0,Middle_Aged,West,30,Summer,4.307571211054311
754350cf-e2d7-4cd2-b707-df784627ead9,Print,42504.0,166477.0,1619.0,Senior,West,90,Summer,1.3976864499741972
a78f778b-ea30-4b95-b554-8fbf964de652,Radio,31124.0,80823.0,135.0,Young,North,30,Fall,3.228201800936044
abf4e396-cf56-41e9-ab30-aa1923bd3575,Print,96791.0,94713.0,1233.0,Middle_Aged,North,30,Spring,3.4214574530008632
3a169e6a-e7f9-48cc-805d-7dc211b4bdae,TV,56534.0,,,Young,North,60,Summer,4.305891894097197
dc36ad55-5e68-46fa-aae0-ad0c61e93c77,Radio,36487.0,166973.0,1728.0,Middle_Aged,North,90,Fall,1.6150527744114047
60294e4c-741d-4c7a-b3d8-2f088cfcbda9,Online,25050.0,147108.0,623.0,Senior,North,90,Fall,1.0462108682133406
eb00afc5-dd3e-423e-b6e5-2a82fefd15fc,Radio,16163.0,40427.0,282.0,Middle_Aged,North,60,Winter,2.0336657953411725
108e4759-88c4-4ff2-bed5-052837066e5d,TV,99057.0,57074.0,1107.0,Young,East,60,Spring,4.816540195245182
3cd7ee45-5a7e-4dd0-8d8d-cdb1038a9e62,TV,51469.0,152176.0,272.0,Middle_Aged,East,30,Summer,1.3709459441250709
fb2189a5-d10f-47a3-bfb9-f13c1017de24,Radio,,94518.0,619.0,Young,West,30,Winter,4.420549252351951
02cc35a0-bc8a-4e3e-b3b9-b0ebc6f9ee88,Radio,10352.0,79407.0,1203.0,Middle_Aged,North,60,Spring,4.419110111981606
0d5eeb26-382b-4fc9-b0d1-f3e865f06a5b,TV,28434.0,5176.0,489.0,Senior,East,30,Fall,4.713777173967779
c3b01acb-95d5-4ddd-a223-567bac33c8cb,TV,29451.0,166283.0,142.0,Middle_Aged,North,30,Summer,3.424902480310356
1e6c653f-1ddc-413b-a5d4-1fdd88093006,Print,39321.0,45599.0,1957.0,Middle_Aged,West,60,Spring,4.297040617904923
2718c7dc-a1cb-438d-ac1b-25885e2b671e,Online,32506.0,94865.0,1083.0,Young,South,30,Spring,3.818486147866119
47713bcd-7a9f-4375-965a-07956b086797,TV,87378.0,47039.0,122.0,Senior,East,30,Spring,4.102790987830936
ade48501-24a1-4ce1-95e3-07ae53232452,Online,54751.0,97310.0,498.0,Middle_Aged,East,30,Spring,1.425139609498539
a66ac726-70e3-40d9-aa46-d898f7d74665,Online,39650.0,108762.0,550.0,Senior,West,90,Winter,4.269082682214094
2789a8ad-638f-4dde-b6d2-800b69f5346c,TV,64430.0,102223.0,885.0,Young,North,60,Winter,1.6353698285377805
34d76174-e89b-4a8c-b832-a9c954c3b319,Online,72227.0,148736.0,954.0,Young,North,30,Spring,4.4244613186767
11d5b7b6-9a5e-4581-be81-437af3529c63,TV,38777.0,96545.0,1811.0,Senior,West,90,Summer,3.9453433787313563
3b9475f8-da52-4316-8eab-2b69f88ef767,Print,68640.0,101660.0,978.0,Young,East,90,Summer,4.853307324345922
ce8a6ff0-9435-43b0-81a9-dd7659fb3d57,Online,83639.0,194562.0,264.0,Middle_Aged,North,60,Fall,2.355704818897116
51a8ce7c-d1fb-477f-82c0-a1eeb4ec02de,Online,56245.0,31917.0,,Senior,South,30,Summer,3.5570609222428793
5ef98fad-0f2e-4546-bd93-01a946cc6957,Online,76927.0,145839.0,1948.0,Young,East,60,Summer,4.28201957088481
b4068881-26ed-4fa8-aabb-08dd760c7428,Print,57755.0,,102.0,Middle_Aged,East,30,Summer,1.0199425231895423
4d5d0c7d-a670-40ac-bfd3-6b0300d3d5ac,Online,11988.0,103947.0,1874.0,Middle_Aged,South,30,Winter,4.863696304444771
ac030598-0e2f-456a-9224-f451729683be,TV,33512.0,27503.0,1787.0,Senior,East,60,Winter,1.6190576286969671
81e93082-cb39-410c-b8f1-3657b1aa65c6,TV,25611.0,182097.0,1897.0,Middle_Aged,East,90,Winter,3.6496925382811773
14719dd8-7590-4e9f-b4f6-5ae69fad1b26,Online,88150.0,94476.0,1989.0,Senior,East,60,Spring,2.4153217242105347
84ba9814-c899-4a83-b145-e735a87c6825,Online,36609.0,132833.0,922.0,Young,West,60,Winter,3.6945217842446127
